code,location,registered,envelopes,valid,Česká pirátská strana,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Občanská demokratická aliance,Strana zelených,Řád národa - Vlastenecká unie,"ROZUMNÍ-stop migraci,diktát.EU",Blok proti islam.-Obran.domova,Občanská demokratická strana,STAROSTOVÉ A NEZÁVISLÍ,Radostné Česko,Strana svobodných občanů,Komunistická str.Čech a Moravy
559482,Tis u Blatna,92,54,53,5,0,4,0,1,0,0,0,2,4,0,0,13
559491,Tlučná,2507,1483,1479,189,1,168,6,13,4,7,2,164,73,0,29,98
559504,Trnová,757,470,467,35,0,39,0,2,0,7,0,50,20,0,6,45
559521,Třemošná,4006,2543,2535,255,0,194,8,21,8,24,2,400,160,3,35,185
546411,Úherce,278,184,182,27,0,3,3,1,0,1,0,22,8,1,2,24
566594,Újezd nade Mží,83,64,64,5,0,2,0,0,0,1,0,3,6,1,2,13
559555,Úlice,377,229,228,21,0,10,0,1,0,0,1,15,27,0,4,27
559563,Úněšov,471,254,250,11,0,25,0,0,0,2,2,18,14,0,4,41
559571,Úterý,396,206,203,16,0,22,0,4,0,0,1,14,13,1,1,28
559580,Vejprnice,3059,2059,2050,223,3,134,5,25,2,14,4,498,86,1,29,135
578924,Velečín,56,40,40,1,0,2,0,2,0,0,0,1,2,0,2,5
559601,Vochov,692,476,473,57,0,34,0,8,2,5,2,50,40,0,23,29
566497,Všehrdy,44,24,24,0,0,2,0,0,0,0,0,4,6,0,0,2
559628,Všeruby,1096,629,624,58,0,34,3,7,0,9,1,65,32,0,8,65
566969,Výrov,372,227,227,18,0,32,0,0,0,2,1,26,7,0,4,20
530280,Vysoká Libyně,195,117,117,6,0,16,0,0,1,1,0,10,8,0,0,14
578827,Zahrádka,127,72,72,5,0,7,1,0,0,0,0,8,2,1,0,15
559661,Zbůch,1723,928,919,68,0,64,1,14,5,4,0,110,35,1,18,90
559679,Zruč-Senec,2595,1800,1789,172,2,85,6,31,2,9,1,308,94,2,27,109
559695,Žihle,1076,623,618,52,1,55,1,6,1,11,0,37,31,1,9,63
559709,Žilov,351,221,220,39,0,21,0,2,0,3,0,31,13,1,5,21
